Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Горошек консервированный,4459,711,Бакалея,Помогает улучшить работу мозга и повысить концентрацию внимания.,2016-08-03,2028-07-06,1.56,Refunded
2,Волжанка,3463,225,Напитки,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2011-04-03,2012-01-08,2.1,In Stock
3,Рыбинская,156,853,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1996-02-01,2011-01-06,1.66,Delivered
4,Чеддер,2860,759,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2011-10-01,2017-02-03,4.02,Backorder
5,Брюква,3462,269,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2021-07-15,2024-02-14,3.24,Awaiting Review
6,Глинтвейн,5273,525,Напитки,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1999-04-01,2010-04-07,1.6,In Stock
7,Апельсин,380,669,Фрукты,Помогает предотвратить дефицит витаминов и минералов в организме.,1996-08-02,2021-02-08,0.66,Awaiting Payment
8,Смородина,1407,553,Фрукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2002-01-05,2021-01-06,4.31,Out of Stock
9,Картофель,6716,108,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1996-01-23,2009-01-11,2.69,Temporarily Unavailable
10,Сельдерей,9065,210,Овощи,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2008-02-13,2022-04-05,4.02,Available for Pickup
11,Каша из ржи,8885,988,Бакалея,Является важным компонентом сбалансированного рациона питания.,2020-01-04,2020-04-03,4.09,Awaiting Payment
12,Скалки,821,63,Товары для дома,Подходит для использования в качестве основы для смузи и коктейлей.,2005-09-09,2029-05-07,4.65,On Backorder
13,Каша из камута,8820,858,Бакалея,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2007-06-01,2012-03-01,2.64,Backorder
14,Пакеты для Дня учителя,3968,844,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2002-06-01,2025-11-02,1.79,Awaiting Review
15,Хурма,1666,34,Фрукты,Отличается низкой калорийностью и высоким содержанием белка.,1999-03-19,2025-02-01,0.22,Pending
16,Севастопольская,1889,833,Напитки,"Подходит для людей всех возрастов, включая детей и пожилых.",2019-01-22,2026-10-07,1.4,Cancelled
17,Липецкий бювет,7041,903,Напитки,Подходит для людей с чувствительным пищеварением.,2008-03-05,2025-12-14,3.75,Delivered
18,Окра,9212,482,Овощи,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2003-05-11,2006-07-06,0.57,Refunded
19,Ямс,3294,422,Овощи,Отличается низким содержанием насыщенных жиров и холестерина.,2010-01-05,2027-01-01,3.15,On Backorder
20,Инжир,1341,856,Фрукты,Помогает поддерживать нормальный уровень артериального давления.,1997-08-08,2000-03-14,0.74,Out of Stock
21,Белокуриха,7147,44,Напитки,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2010-06-23,2024-04-02,0.04,Temporarily Unavailable
22,Бадьян,1678,660,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2008-01-22,2016-01-03,0.56,Shipping
23,Российский сыр,2861,659,Молочные продукты,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1995-05-08,2029-07-02,3.55,In Stock
24,Топинамбур,5882,710,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,1996-03-03,2012-01-24,2.39,In Stock
25,Нектарин,2217,155,Фрукты,Прошел строгий контроль качества на всех этапах производства.,1990-01-15,2024-01-04,1.35,Awaiting Review
26,Ливерная колбаса,6311,940,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,1998-04-12,2023-03-01,4.96,Available for Pickup
27,Шелковица,7708,356,Фрукты,"Подходит для приготовления как горячих, так и холодных блюд.",2000-03-14,2001-10-01,4.38,Awaiting Payment
28,Смородина,7588,170,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1995-01-15,2005-01-01,1.01,Out of Stock
29,Кефир,2561,855,Молочные продукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2017-08-02,2020-04-08,0.34,Out of Stock
30,Черника,2803,178,Фрукты,Помогает поддерживать оптимальный вес и форму тела.,2020-01-16,2028-04-04,4.6,Awaiting Review
31,Фета,2626,372,Молочные продукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2010-03-14,2028-08-03,2.11,Temporarily Unavailable
32,Мак семена,2986,287,Бакалея,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2012-02-22,2030-03-23,3.7,Cancelled
33,Нафтуся,7672,29,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2009-01-01,2030-01-01,1.93,On Backorder
34,Чай зеленый,3760,131,Напитки,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2014-02-21,2026-02-02,2.85,On Backorder
35,Репа,2559,788,Овощи,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2000-01-22,2002-01-09,0.92,Available for Pickup
36,Пакеты для обуви,8950,982,Товары для дома,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2000-03-06,2027-05-22,2.0,Awaiting Payment
37,Топинамбур,7774,858,Овощи,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2003-06-10,2023-11-06,2.54,Awaiting Payment
38,Каша из проса,6060,207,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",2016-01-07,2019-03-03,0.56,Awaiting Payment
39,Блины с мясом,6009,793,Мясо,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2002-01-09,2027-02-07,4.59,Cancelled
40,Овсянка,1198,787,Бакалея,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1998-05-02,2010-09-04,2.56,Awaiting Payment
41,Соль,1657,22,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2013-01-04,2029-03-02,0.1,Backorder
42,Лимон,6006,502,Фрукты,Отличается натуральным составом и отсутствием искусственных добавок.,1991-04-01,2021-03-04,2.48,Returned
43,"Сухофрукты (изюм, курага, чернослив)",3188,821,Бакалея,Помогает сохранять бодрость и активность в течение дня.,1991-07-03,2012-06-03,1.54,Refunded
44,Чизбургеры,5690,990,Мясо,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2017-09-06,2027-01-03,1.82,Sold
45,Пакеты для Всемирного дня воды,9679,794,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1991-02-01,2024-01-14,1.35,Delivered
46,Тартар,8413,394,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2005-02-05,2011-01-13,0.2,Returned
47,Мандарин,6164,51,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2021-01-24,2029-05-07,3.65,Cancelled
48,Окра,2618,485,Овощи,Отличается легкостью в переваривании и усвоении организмом.,1997-09-01,2024-01-07,2.73,On Backorder
49,Пакеты для хранения одежды,7831,133,Товары для дома,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2014-02-02,2028-02-01,2.48,Awaiting Review
50,Лавровый лист сушеный,4449,265,Бакалея,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2021-02-01,2027-01-13,3.31,In Stock
51,Салфетки сухие,4235,408,Товары для дома,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1995-05-08,2011-05-09,1.6,New
52,Каша из дробленой булгура,8626,422,Бакалея,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2008-02-04,2027-03-07,4.69,Available for Pickup
53,Каша из дробленной булгурной крупы,5623,814,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2014-01-02,2028-01-07,1.23,Cancelled
54,Каша из камута,2673,527,Бакалея,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2005-02-05,2019-07-10,0.47,New
55,Сардельки,2292,450,Мясо,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2013-01-15,2014-02-11,4.09,On Backorder
56,Самса,9610,741,Мясо,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1995-05-01,2027-01-08,2.71,Returned
57,Моющее средство для посуды,5349,767,Товары для дома,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2022-02-05,2025-02-26,2.75,Awaiting Payment
58,Морковь,2856,788,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2000-11-01,2002-07-03,1.31,Backorder
59,Тостер,7756,517,Товары для дома,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1990-05-06,2020-04-13,1.26,Backorder
60,Брынза,1829,791,Молочные продукты,Способствует улучшению работы пищеварительной системы.,2022-06-03,2029-03-23,2.44,Available for Pickup
61,Рис,6167,300,Бакалея,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2000-05-04,2013-07-11,4.52,Cancelled
62,Брокколи,6155,198,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2001-02-03,2020-05-20,4.13,Temporarily Unavailable
63,Наборы столовых приборов,2586,138,Товары для дома,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2002-01-01,2020-06-06,4.18,Cancelled
64,Кефир,9746,345,Молочные продукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2002-01-02,2010-02-06,3.1,Awaiting Payment
65,Разрыхлитель теста,9731,261,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2010-02-04,2021-04-15,2.48,Sold
66,Шубат,1899,158,Молочные продукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1998-03-21,2009-05-03,2.13,Available for Pickup
67,Гель после бритья,3569,28,Товары для дома,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2012-02-01,2015-01-14,3.38,Refunded
68,Парфюм,9226,351,Товары для дома,Помогает сохранять бодрость и активность в течение дня.,1993-08-13,2029-01-03,1.96,Shipping
69,Подсолнечник семена,7257,598,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,2013-05-07,2018-02-11,1.23,Refunded
70,Уральская,3169,558,Напитки,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2007-08-08,2021-02-25,0.63,Refunded
71,Батат,6608,502,Овощи,"Является источником антиоксидантов, замедляющих процессы старения.",1996-02-13,2015-01-01,4.66,Awaiting Payment
72,Курортная,560,307,Напитки,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2002-08-04,2018-07-04,2.25,Temporarily Unavailable
73,Розмарин сушеный,1485,578,Бакалея,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2001-02-21,2013-03-01,2.25,Backorder
74,Голландский сыр,2049,887,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,2020-01-03,2027-03-02,1.53,Sold
75,Шампунь,9767,538,Товары для дома,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2021-05-06,2026-01-25,1.1,Out of Stock
76,Укроп,1152,800,Овощи,Является неотъемлемой частью рациона многих народов мира.,2022-04-05,2024-06-03,3.87,Delivered
77,Сыворотка молочная,5953,850,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2020-02-08,2022-02-19,2.37,Cancelled
78,Мороженое,2903,176,Молочные продукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2013-07-04,2029-03-02,1.91,Cancelled
79,Батат,8129,741,Овощи,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2012-01-11,2027-05-01,2.75,Available for Pickup
80,Стаканы,927,192,Товары для дома,Прошел сертификацию на соответствие требованиям органических стандартов.,1991-05-01,2014-01-02,1.55,Pending
81,Каша из дробленной перловой крупы,4041,795,Бакалея,Помогает поддерживать нормальный уровень электролитов в организме.,2008-01-03,2020-10-04,0.74,Out of Stock
82,Пакеты для ярмарки,9486,465,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2009-03-13,2026-01-10,3.81,Returned
83,Уксус,6495,124,Бакалея,Помогает поддерживать нормальный уровень электролитов в организме.,2014-05-02,2022-04-02,4.38,Available for Pickup
84,Засоленное мясо,8355,576,Мясо,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-08-03,2012-01-01,4.03,Shipping
85,"Экзотические виды мяса (например, страус, кенгуру)",2063,85,Мясо,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2016-03-02,2026-02-17,4.01,Cancelled
86,Студень,6681,915,Мясо,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1993-03-01,2018-12-04,1.99,Returned
87,Разрыхлитель теста,8903,750,Бакалея,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2007-08-02,2016-01-02,0.31,Available for Pickup
88,Грейпфрут,4679,318,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2016-02-08,2023-04-12,1.33,Pending
89,Легкое,7254,98,Мясо,"Является источником важных микроэлементов, таких как магний и калий.",1998-03-11,2005-01-22,2.35,Available for Pickup
90,Эндивий,7020,475,Овощи,"Является источником антиоксидантов, замедляющих процессы старения.",1994-10-14,2018-01-08,3.54,Temporarily Unavailable
91,Стаканы,9488,659,Товары для дома,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1994-03-03,2014-01-04,3.77,Awaiting Review
92,Рамбутан,7526,16,Фрукты,Отличается высокой питательностью и способен быстро утолить голод.,2005-01-03,2019-10-13,0.15,Refunded
93,Сыр,6083,742,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2014-06-17,2016-05-09,2.67,On Backorder
94,Фейхоа,7968,573,Фрукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2003-01-01,2016-10-16,3.13,Shipping
95,Анис звездчатый,2899,623,Бакалея,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2000-07-01,2010-04-25,1.37,Awaiting Payment
96,Архыз,8454,915,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2001-05-06,2021-02-04,4.27,On Backorder
97,Пакеты для библиотеки,9510,393,Товары для дома,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1991-06-04,2017-01-17,1.37,Temporarily Unavailable
98,Lipton Ice Tea,6491,167,Напитки,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",1993-08-11,2017-01-04,0.13,Refunded
99,Капуста белокочанная,8890,142,Овощи,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2017-03-05,2022-01-07,1.54,Temporarily Unavailable
100,Дезодорант,7971,330,Товары для дома,Является неотъемлемой частью рациона многих народов мира.,1999-09-17,2010-05-08,1.76,Returned
101,Кухонные ножи,1851,843,Товары для дома,"Отличается длительным сроком годности, что позволяет делать запасы.",2006-10-03,2022-03-07,1.25,New
102,Яблоко,8184,758,Фрукты,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2005-01-06,2029-04-01,1.93,In Stock
103,Крахмал картофельный,2562,581,Бакалея,Подходит для использования в диетических программах для похудения.,2011-06-06,2019-02-02,3.23,Pending
104,Пастернак,3114,43,Овощи,Отличается высокими показателями усвояемости организмом.,2006-01-01,2007-01-13,1.32,In Stock
105,Энергетический напиток,9912,534,Напитки,Отличается удобством использования и экономичностью в расходе.,2022-03-07,2028-04-06,4.53,Temporarily Unavailable
106,Горошек консервированный,7238,859,Бакалея,Служит основой для создания множества кулинарных шедевров.,1993-08-01,2011-02-22,0.32,Available for Pickup
107,Горох,416,899,Овощи,Прошел проверку на соответствие экологическим нормам и стандартам.,2012-01-04,2027-04-02,4.75,Shipping
108,Вымя,4194,300,Мясо,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2007-06-02,2017-04-01,2.63,Backorder
109,Анапская,8728,939,Напитки,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1993-01-02,1998-07-01,1.11,New
110,Сырокопченая колбаса,337,86,Мясо,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1992-03-13,1997-10-01,1.21,Refunded
111,Салфетки влажные,9773,272,Товары для дома,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2017-02-11,2022-04-04,3.74,On Backorder
112,Молоко,6868,184,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2002-07-04,2020-02-03,2.52,Temporarily Unavailable
113,Клубника,7148,120,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1996-01-12,2014-04-01,4.84,Awaiting Payment
114,Разрыхлитель теста,4342,121,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,1996-01-01,2008-01-19,2.87,Awaiting Review
115,Огурец,3569,290,Овощи,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2008-05-11,2023-03-21,4.7,Cancelled
116,Российский сыр,8057,581,Молочные продукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2011-01-21,2022-01-09,0.96,Delivered
117,Лавровый лист сушеный,4875,833,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",1992-06-04,2001-03-03,3.29,Refunded
118,Растительное масло льняное,1638,326,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",2007-05-07,2028-02-22,1.05,Awaiting Review
119,Йогурт натуральный,3282,815,Бакалея,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2002-03-02,2026-04-14,0.41,Pending
120,Баклажан,967,165,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2003-05-16,2025-01-02,4.23,Refunded
121,Плавленые сырки,3222,943,Бакалея,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1997-05-17,2026-05-13,4.56,Backorder
122,Белокуриха,8258,59,Напитки,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2019-02-16,2028-06-10,3.8,Awaiting Review
123,Королевская,4799,284,Напитки,Является важным компонентом рациона для поддержания гормонального баланса.,1996-09-09,2012-03-01,4.43,Awaiting Payment
124,Голландский сыр,7918,29,Молочные продукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2003-01-22,2012-01-10,0.13,Backorder
125,Авокадо,3854,332,Фрукты,Является важным компонентом сбалансированного рациона питания.,2002-12-11,2007-02-04,2.33,Sold
126,Катык,3607,782,Молочные продукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2015-07-03,2025-03-10,0.65,Sold
127,Ряженка,491,531,Молочные продукты,"Обладает мягким вкусом, который нравится многим потребителям.",2007-06-04,2030-01-13,0.08,In Stock
128,Яблоко,6852,416,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2020-11-04,2030-01-15,0.19,New
129,Слива,3970,143,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2008-01-10,2014-03-03,4.59,Shipping
130,Лимон,1414,562,Фрукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2017-09-03,2029-04-09,4.02,New
131,Молоко,6583,692,Молочные продукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1993-04-04,1994-02-19,3.09,New
132,Абрикос,5370,428,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-02-04,2029-04-18,2.0,Shipping
133,Кристалл Байкала,5273,320,Напитки,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1996-03-12,2013-12-13,4.18,Available for Pickup
134,Брокколи,7671,263,Овощи,Прошел проверку на соответствие экологическим нормам и стандартам.,1993-05-01,1995-03-03,3.12,In Stock
135,Масло подсолнечное,3481,205,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1990-11-02,2003-03-10,4.7,Awaiting Payment
136,Виноград,4437,666,Фрукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2000-04-04,2011-03-03,4.42,Backorder
137,Варено-копченая колбаса,5683,850,Мясо,Отвечает всем современным стандартам качества и безопасности.,2016-01-02,2025-01-03,2.84,Returned
138,Люберецкая,8251,206,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,2008-08-13,2026-02-09,0.82,Shipping
139,Роллы с мясом,3891,734,Мясо,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2012-01-04,2028-04-02,2.83,Pending
140,Мелисса сушеная,1247,111,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1997-04-03,2010-03-05,2.74,New
141,Соус соевый,5079,979,Бакалея,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2019-06-13,2030-06-09,3.34,Refunded
142,Адыгейский сыр,3724,676,Молочные продукты,"Является источником важных микроэлементов, таких как магний и калий.",2018-02-05,2030-01-08,1.47,Pending
143,Крыжовник,9175,286,Фрукты,Помогает улучшить когнитивные функции и память.,1992-07-09,2012-01-02,0.5,Refunded
144,Щавель,9629,371,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1994-07-05,2023-04-12,4.55,On Backorder
145,Каша из камута,9214,24,Бакалея,Служит основой для создания множества кулинарных шедевров.,2019-01-06,2020-01-06,2.16,Delivered
146,Fantastic,2226,921,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2013-02-13,2019-08-06,4.34,Awaiting Review
147,Легкое,1650,934,Мясо,Может использоваться в косметических процедурах для увлажнения кожи.,2008-09-13,2021-04-20,2.0,Refunded
148,Обуховская,3189,121,Напитки,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2020-07-05,2023-09-08,2.37,Awaiting Review
149,Чечевица,9024,26,Овощи,Отличается высоким уровнем биологической доступности питательных веществ.,2011-05-18,2016-09-02,4.28,New
150,Пастила,2689,730,Бакалея,Прошел все необходимые сертификации и соответствует международным стандартам.,2020-10-06,2027-07-06,3.9,New
151,Творог,4497,122,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,1996-03-01,1996-03-01,4.39,Pending
152,Бастурма,7162,324,Мясо,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2003-06-03,2027-03-01,2.58,In Stock
153,Пельмени,1645,405,Мясо,Может быть использован в выпечке для придания ей особой пышности и аромата.,2009-04-06,2023-03-06,3.1,Out of Stock
154,Колбаса копченая,2026,294,Мясо,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2007-05-03,2011-01-16,3.22,Available for Pickup
155,Морс брусничный,4865,775,Напитки,"Подходит для приготовления как горячих, так и холодных блюд.",2012-02-19,2012-06-11,2.34,Backorder
156,Мультиварка,8223,873,Товары для дома,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2013-09-02,2015-02-15,1.35,Available for Pickup
157,Адлеркурортная,9484,196,Напитки,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2002-03-03,2003-05-17,3.32,Backorder
158,Хурма,2991,193,Фрукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1995-05-02,2013-02-05,1.68,New
